title,year,directors,rank_change
Network,1976,['Sidney Lumet'],no change
Stand by Me,1986,['Rob Reiner'],no change
Hachi: A Dog's Tale,2009,['Lasse Hallström'],no change
The Sound of Music,1965,['Robert Wise'],no change
A Man Escaped,1956,['Robert Bresson'],no change
My Father and My Son,2005,['Çagan Irmak'],no change
The Handmaiden,2016,['Park Chan-wook'],no change
To Be or Not to Be,1942,['Ernst Lubitsch'],no change
Into the Wild,2007,['Sean Penn'],no change
The Battle of Algiers,1966,['Gillo Pontecorvo'],no change
The Iron Giant,1999,['Brad Bird'],no change
The Grapes of Wrath,1940,['John Ford'],no change
Groundhog Day,1993,['Harold Ramis'],no change
Amores Perros,2000,['Alejandro G. Iñárritu'],no change
Rebecca,1940,['Alfred Hitchcock'],no change
The Help,2011,['Tate Taylor'],no change
A Silent Voice: The Movie,2016,"['Taichi Ishidate', 'Naoko Yamada']",no change
Cool Hand Luke,1967,['Stuart Rosenberg'],no change
